Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
8;1000528;Форма банка (без печати работодателя);Ремонт;1;0.49;мужской;1;0;Высшее/Второе высшее/Ученая степень;менеджер высшего звена;< 50;0;16;47;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000548;Форма банка (без печати работодателя);Ремонт;1;0.42;мужской;0;0;среднее-специальное;вспомогательный персонал;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000568;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.24;женский;1;0;высшее;специалист;>250;1;37;39;Информационные технологии;ООО;разведен / разведена;2;1;1;1;1;0.0952380952;0;0;0;0;0.6666666667;2;1;19;3;1;0;6;12;1;0;0;0;0;0;0
8;1000588;2НДФЛ;Ремонт;0;0.57;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;119;37;Торговля;ЗАО;холост / не замужем;9;8;7;6;2;0.0198019802;0;0;0;0;0.25;5;15;297;20;1;0;9;112;1;0;0;0;0;0;0
8;1000608;Форма банка (без печати работодателя);Покупка автомобиля;0;0.43;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000628;2НДФЛ;Ремонт;0;0.45;мужской;0;0;среднее-специальное;рабочий;>250;0;180;41;Другое;ОАО;женат / замужем;1;1;1;1;1;0;0;0;0;0;1;1;0;12;1;1;0;12;12;0;0;0;0;0;0;0
8;1000648;2НДФЛ;Ремонт;0;0.59;мужской;2;0;высшее;вспомогательный персонал;>250;3;162;33;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000668;Поступление зарплаты на счет;Обучение;1;0.05;мужской;1;0;высшее;менеджер среднего звена;>250;1;32;52;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000688;2НДФЛ;Ремонт;1;0.44;мужской;2;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000708;2НДФЛ;Покупка земли;1;0.22;женский;0;0;высшее;специалист;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000728;Форма банка (без печати работодателя);Ремонт;1;0.27;мужской;0;0;высшее;специалист;>250;0;35;29;Информационные технологии;ОАО;женат / замужем;1;1;1;1;1;0;1;0;0;0;0;0;2;20;2;0;1;17;18;0;0;0;0;0;0;0
8;1000748;2НДФЛ;Ремонт;0;0.55;женский;1;0;высшее;специалист;>250;3;174;34;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000768;2НДФЛ;Ремонт;1;0.59;мужской;0;0;высшее;рабочий;>250;0;95;30;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000788;2НДФЛ;Ремонт;0;0.51;женский;0;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000808;Поступление зарплаты на счет;Другое;0;0.57;мужской;1;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;110;38;Торговля;ООО;женат / замужем;2;2;0;0;0;0;1;1;1;1;0.4;2;3;109;5;2;2;1;40;0;0;0;0;0;0;0
8;1000828;Форма банка (без печати работодателя);Ремонт;1;0.54;женский;1;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000848;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.24;женский;0;0;высшее;специалист;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000868;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.56;женский;0;0;среднее-специальное;менеджер среднего звена;>250;1;128;40;Торговля;ООО;женат / замужем;0;0;0;0;0;0.025;0;0;0;0;0.5555555556;5;4;117;9;3;2;8;62;1;0;0;0;0;0;0
8;1000888;Поступление зарплаты на счет;Отпуск;0;0.1;женский;1;0;высшее;специалист;>250;0;220;41;Другое;Иная форма;женат / замужем;0;0;0;0;0;0.0149253731;0;0;0;0;0.3333333333;1;2;66;3;1;2;22;64;1;0;0;0;0;0;0
8;1000908;Поступление зарплаты на счет;Ремонт;1;0.38;женский;0;0;второе высшее;менеджер среднего звена;>250;0;134;33;Другое;ЗАО;женат / замужем;4;4;4;3;3;0.4983388704;0;0;0;0;0.1666666667;1;5;151;6;0;2;74;109;1;1;1;1;1;0;0
8;1000928;Поступление зарплаты на счет;Ремонт;1;0.37;мужской;0;0;второе высшее;менеджер среднего звена;>250;1;14;25;Информационные технологии;ООО;холост / не замужем;1;1;1;1;1;0.0410958904;0;1;0;0;0.8;4;1;70;5;2;0;3;32;1;0;0;0;0;0;0
8;1000948;2НДФЛ;Покупка недвижимости/ строительство;1;0.44;мужской;2;0;высшее;вспомогательный персонал;>250;0;21;36;Сельское и лесное хозяйство;ОАО;женат / замужем;2;1;1;1;1;0;0;1;1;0;0.5;2;2;36;4;2;0;2;111;0;0;0;0;0;0;0
8;1000968;Форма банка (без печати работодателя);Ремонт;1;0.21;мужской;1;0;высшее;рабочий;>250;0;49;39;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1000988;Поступление зарплаты на счет;Ремонт;1;0.59;мужской;2;0;высшее;специалист;>250;1;7;30;Другое;ООО;женат / замужем;4;2;2;0;0;0;0;0;0;0;0.2;2;8;125;10;2;0;14;81;0;0;0;0;0;0;0
8;1001008;Форма банка (без печати работодателя);Ремонт;0;0.18;мужской;0;0;высшее;специалист;>250;0;51;26;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1001028;Форма банка (без печати работодателя);Ремонт;1;0.12;мужской;1;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;< 50;0;9;29;Торговля;ООО;холост / не замужем;5;5;5;5;5;0;0;3;0;0;0.8;4;1;30;5;3;0;3;31;0;0;0;0;0;0;0
8;1001048;Форма банка (без печати работодателя);Ремонт;0;0.59;мужской;1;0;высшее;торговый представитель;>250;0;7;36;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1001068;Поступление зарплаты на счет;Другое;1;0.38;женский;0;0;высшее;менеджер среднего звена;>250;0;44;26;Другое;ООО;холост / не замужем;1;1;1;0;0;0;1;0;0;0;0.6666666667;2;1;26;3;1;1;7;19;0;0;0;0;0;0;0
8;1001088;2НДФЛ;Отпуск;0;;мужской;2;0;высшее;другое;;1;15;26;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1001108;Форма банка (без печати работодателя);Ремонт;1;0.37;мужской;0;0;среднее-специальное;рабочий;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
