Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
8;1044888;2НДФЛ;Ремонт;0;0.57;женский;0;0;незаконченное высшее;специалист;>250;0;359;51;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1044908;Поступление зарплаты на счет;Ремонт;1;0.39;мужской;1;0;среднее-специальное;специалист;>250;0;20;30;Другое;ООО;холост / не замужем;9;6;6;2;2;0;1;1;0;0;0.25;3;9;167;12;1;2;3;43;0;0;0;0;0;0;0
8;1044928;2НДФЛ;Ремонт;0;0.1;мужской;0;0;высшее;менеджер высшего звена;< 50;0;47;35;Информационные технологии;ЗАО;женат / замужем;1;1;1;1;1;0.1714285714;0;0;0;0;0.25;1;3;58;4;1;1;19;92;1;1;1;1;1;1;1
8;1044948;Форма банка (без печати работодателя);Покупка мебели;1;0.59;мужской;0;0;высшее;специалист;>250;0;54;31;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1044968;Свободная форма с печатью работодателя;Другое;0;0.2;мужской;0;0;высшее;менеджер высшего звена;< 50;0;62;38;Другое;ООО;женат / замужем;0;0;0;0;0;0;1;0;0;0;0;0;1;8;1;0;0;20;20;0;0;0;0;0;0;0
8;1044988;Поступление зарплаты на счет;Ремонт;1;0.24;женский;0;0;высшее;специалист;>250;0;56;36;Торговля;ООО;женат / замужем;0;0;0;0;0;0.0297029703;1;0;0;0;0.25;1;3;98;4;0;1;19;51;1;0;0;0;0;0;0
8;1045008;2НДФЛ;Другое;1;0.59;женский;1;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;55;30;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1045028;Поступление зарплаты на счет;Ремонт;1;0.34;мужской;0;0;высшее;менеджер среднего звена;>250;0;90;28;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1045048;Форма банка (без печати работодателя);Ремонт;0;0.54;женский;1;0;Высшее/Второе высшее/Ученая степень;менеджер высшего звена;< 50;0;122;44;Торговля;ООО;женат / замужем;2;2;2;2;2;0;1;0;0;0;0.4;4;6;234;10;3;0;16;95;0;0;0;0;0;0;0
8;1045068;Поступление зарплаты на счет;Ремонт;0;0.26;женский;2;0;высшее;торговый представитель;>250;1;7;32;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1045088;Форма банка (без печати работодателя);Ремонт;0;0.36;женский;0;0;высшее;менеджер среднего звена;< 50;0;31;33;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1045108;Поступление зарплаты на счет;Другое;0;0.03;мужской;0;0;высшее;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1045128;2НДФЛ;Ремонт;0;0.28;женский;2;0;среднее-специальное;рабочий;>250;0;26;34;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1045148;Поступление зарплаты на счет;Покупка автомобиля;0;0.57;женский;0;0;высшее;специалист;>250;0;14;25;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1045168;Поступление зарплаты на счет;Отпуск;1;0.41;мужской;0;0;высшее;специалист;>250;1;18;26;Другое;ООО;разведен / разведена;1;0;0;0;0;0.0275862069;0;1;0;0;0.5;6;6;141;12;3;0;5;43;1;0;0;0;0;0;0
8;1045188;Поступление зарплаты на счет;Ремонт;1;0.48;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;9;24;Другое;ООО;холост / не замужем;8;8;6;5;3;0.2857142857;0;1;1;1;0.5;1;1;5;2;1;0;0;32;1;0;0;0;0;0;0
8;1045208;Поступление зарплаты на счет;Ремонт;1;0.45;мужской;0;0;высшее;вспомогательный персонал;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1045228;Поступление зарплаты на счет;Ремонт;0;0.42;женский;1;0;высшее;менеджер среднего звена;>250;0;68;40;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1045248;2НДФЛ;Покупка недвижимости/ строительство;1;0.37;мужской;2;0;высшее;рабочий;>250;1;237;50;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1045268;Поступление зарплаты на счет;Покупка мебели;1;0.34;мужской;0;0;среднее-специальное;специалист;>250;0;184;56;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1045288;2НДФЛ;Покупка недвижимости/ строительство;0;0.59;женский;0;0;высшее;специалист;< 50;1;44;51;Торговля;Индивидуальный предприниматель;холост / не замужем;5;3;3;2;2;0.014354067;0;1;1;1;0.5;5;5;206;10;1;1;0;84;1;0;0;0;0;0;0
8;1045308;Форма банка (без печати работодателя);Отпуск;1;0.35;мужской;4;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;< 50;0;13;31;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1045328;Поступление зарплаты на счет;Ремонт;1;0.56;женский;1;0;среднее-специальное;рабочий;>250;1;151;36;Другое;ООО;холост / не замужем;1;1;1;0;0;0;0;2;0;0;0.2307692308;3;10;85;13;1;0;3;59;0;0;0;0;0;0;0
8;1045348;Поступление зарплаты на счет;Ремонт;1;0.55;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;53;28;Информационные технологии;ООО;холост / не замужем;0;0;0;0;0;0;0;1;0;0;0.25;1;3;53;4;0;3;5;29;0;0;0;0;0;0;0
8;1045368;Форма банка (без печати работодателя);Покупка автомобиля;0;0.16;мужской;1;0;высшее;менеджер среднего звена;< 50;0;270;51;Другое;ООО;женат / замужем;0;0;0;0;0;0.0361445783;1;0;0;0;0.3333333333;1;2;80;3;0;1;75;92;1;0;0;0;0;0;0
8;1045388;Свободная форма с печатью работодателя;Ремонт;0;0.24;женский;1;0;высшее;менеджер среднего звена;< 50;0;13;29;Торговля;ЗАО;разведен / разведена;0;0;0;0;0;0.1346153846;1;0;0;0;0;0;5;45;5;0;1;16;39;1;0;0;0;0;0;0
8;1045408;Поступление зарплаты на счет;Покупка мебели;1;0.45;женский;2;0;незаконченное высшее;вспомогательный персонал;>250;0;28;31;Торговля;ООО;женат / замужем;2;2;1;1;0;0.0135135135;0;1;1;1;0.75;3;1;73;4;1;0;1;30;1;0;0;0;0;0;0
8;1045428;Форма банка (без печати работодателя);Отпуск;0;0.48;мужской;1;0;высшее;менеджер среднего звена;>250;0;23;36;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1045448;Поступление зарплаты на счет;Ремонт;1;0.47;женский;0;0;высшее;менеджер среднего звена;>250;1;69;41;Торговля;ООО;холост / не замужем;1;1;1;1;1;0.3958333333;0;0;0;0;0.6666666667;2;1;29;3;1;0;24;64;1;1;1;1;1;1;1
8;1045468;Поступление зарплаты на счет;Покупка автомобиля;1;0.25;мужской;2;0;среднее-специальное;вспомогательный персонал;>250;0;22;36;Торговля;ООО;женат / замужем;1;1;1;1;1;0.9473684211;0;0;0;0;0;1;0;1;1;1;0;88;88;1;1;1;1;1;1;1
8;1045488;Поступление зарплаты на счет;Покупка автомобиля;1;0.55;женский;0;0;высшее;торговый представитель;>250;0;19;25;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1045508;Форма банка (без печати работодателя);Другое;0;0.17;женский;2;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;51;38;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1045528;2НДФЛ;Ремонт;1;0.46;женский;0;0;высшее;менеджер среднего звена;>250;0;29;49;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1045548;Форма банка (без печати работодателя);Покупка автомобиля;1;0.17;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1045568;Поступление зарплаты на счет;Ремонт;1;0.43;женский;1;0;среднее-специальное;вспомогательный персонал;>250;0;7;36;Торговля;ООО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0.5;1;1;30;2;1;0;21;77;0;0;0;0;0;0;0
8;1045588;Поступление зарплаты на счет;Покупка автомобиля;1;0.56;мужской;0;0;среднее-специальное;торговый представитель;>250;0;36;32;Торговля;ООО;холост / не замужем;1;0;0;0;0;0;0;0;0;0;0.4;2;3;82;5;0;3;14;32;0;0;0;0;0;0;0
8;1045608;Форма банка (без печати работодателя);Ремонт;0;0.23;мужской;0;0;среднее-специальное;специалист;>250;0;23;45;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1045628;2НДФЛ;Ремонт;1;0.48;мужской;0;0;высшее;специалист;>250;0;6;28;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1045648;Форма банка (без печати работодателя);Ремонт;1;0.57;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;< 50;0;15;30;Торговля;Индивидуальный предприниматель;женат / замужем;2;1;1;1;1;0.0322580645;0;0;0;0;0.5;1;1;60;2;1;1;19;88;1;0;0;0;0;0;0
8;1045668;Форма банка (без печати работодателя);Лечение;0;0.45;женский;2;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1045688;Поступление зарплаты на счет;Отпуск;1;0.14;женский;0;0;высшее;менеджер среднего звена;>250;0;81;34;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1045708;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.27;мужской;0;0;высшее;специалист;< 50;0;65;33;Другое;ООО;женат / замужем;1;1;0;0;0;0;0;1;1;1;0.1333333333;2;13;179;15;1;5;1;63;0;0;0;0;0;0;0
8;1045728;2НДФЛ;Покупка недвижимости/ строительство;1;0.59;женский;0;0;высшее;менеджер среднего звена;>250;0;42;27;Другое;ООО;женат / замужем;1;1;1;1;1;0;0;0;0;0;0;0;1;2;1;0;0;11;11;0;0;0;0;0;0;0
8;1045748;Форма банка (без печати работодателя);Отпуск;1;0.17;женский;0;1;высшее;менеджер среднего звена;>250;0;8;31;Другое;ООО;женат / замужем;0;0;0;0;0;0.1844660194;0;0;0;0;0.25;1;3;84;4;0;1;19;68;1;0;0;0;0;0;0
8;1045768;Форма банка (без печати работодателя);Ремонт;0;0.38;мужской;0;0;среднее-специальное;вспомогательный персонал;>250;0;36;50;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1045788;Поступление зарплаты на счет;Ремонт;1;0.34;мужской;0;0;среднее-специальное;специалист;>250;0;11;25;Торговля;ООО;холост / не замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
8;1045808;Поступление зарплаты на счет;Ремонт;1;0.28;женский;1;0;среднее-специальное;вспомогательный персонал;>250;0;16;37;Торговля;ООО;холост / не замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
8;1045828;2НДФЛ;Покупка автомобиля;1;0.41;мужской;1;0;высшее;рабочий;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1045848;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.47;мужской;1;0;высшее;менеджер высшего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1045868;Форма банка (без печати работодателя);Ремонт;1;0.48;мужской;1;0;высшее;менеджер высшего звена;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1045888;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.46;мужской;2;0;высшее;менеджер среднего звена;< 50;0;73;41;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1045908;Поступление зарплаты на счет;Ремонт;1;0.21;мужской;1;0;высшее;вспомогательный персонал;>250;0;232;41;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1045928;Форма банка (без печати работодателя);Ремонт;0;0.48;женский;1;0;высшее;специалист;>250;0;116;44;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1045948;Форма банка (без печати работодателя);Отпуск;0;0.19;женский;2;0;высшее;вспомогательный персонал;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1045968;Поступление зарплаты на счет;Покупка автомобиля;1;0.57;женский;0;0;Высшее/Второе высшее/Ученая степень;рабочий;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1045988;Форма банка (без печати работодателя);Ремонт;0;0.27;мужской;3;0;Высшее/Второе высшее/Ученая степень;торговый представитель;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1046008;Поступление зарплаты на счет;Ремонт;0;0.46;мужской;1;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;134;40;Торговля;ЗАО;женат / замужем;1;1;0;0;0;0.0338983051;1;0;0;0;0.4;2;3;57;5;0;1;9;35;1;0;0;0;0;0;0
8;1046028;Форма банка (без печати работодателя);Ремонт;1;0.49;женский;0;0;среднее-специальное;специалист;>250;0;47;26;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1046048;2НДФЛ;Ремонт;1;0.57;женский;0;0;высшее;рабочий;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1046068;Поступление зарплаты на счет;Отпуск;1;0.4;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;49;30;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1046088;Поступление зарплаты на счет;Ремонт;1;0.45;мужской;1;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;81;43;Торговля;ООО;холост / не замужем;0;0;0;0;0;0.0820895522;1;0;0;0;0.375;3;5;123;8;3;3;13;78;1;0;0;0;0;0;0
8;1046108;Поступление зарплаты на счет;Ремонт;0;0.54;женский;0;0;Высшее/Второе высшее/Ученая степень;менеджер по продажам;>250;0;12;29;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1046128;Форма банка (без печати работодателя);Ремонт;0;0.31;мужской;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;74;31;Торговля;ЗАО;холост / не замужем;2;1;1;0;0;0.106918239;0;0;0;0;0.2;2;8;142;10;1;3;18;87;1;0;0;0;0;0;0
8;1046148;Поступление зарплаты на счет;Ремонт;1;0.21;мужской;0;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1046168;Форма банка (без печати работодателя);Покупка автомобиля;0;0.3;мужской;3;0;высшее;вспомогательный персонал;>250;0;33;38;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1046188;Поступление зарплаты на счет;Покупка автомобиля;1;0.44;женский;1;0;второе высшее;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1046208;Поступление зарплаты на счет;Покупка автомобиля;1;0.27;мужской;3;0;высшее;специалист;>250;1;56;40;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1046228;Свободная форма с печатью работодателя;Ремонт;1;0.5;мужской;0;0;высшее;специалист;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1046248;2НДФЛ;Покупка недвижимости/ строительство;1;0.31;женский;1;0;высшее;специалист;< 50;0;16;29;Другое;ООО;женат / замужем;2;1;1;1;1;0;1;0;0;0;0.3333333333;1;2;19;3;0;1;7;63;0;0;0;0;0;0;0
8;1046268;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;0;0.34;мужской;1;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1046288;Поступление зарплаты на счет;Покупка автомобиля;0;0.25;мужской;1;0;среднее-специальное;менеджер среднего звена;>250;0;113;37;Другое;ООО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0;0;3;45;3;0;3;23;39;0;0;0;0;0;0;0
8;1046308;2НДФЛ;Покупка автомобиля;0;0.4;мужской;1;0;высшее;специалист;>250;0;49;38;Информационные технологии;ООО;женат / замужем;1;1;1;0;0;0;0;0;0;0;0.25;1;3;61;4;0;1;34;82;0;0;0;0;0;0;0
8;1046328;Поступление зарплаты на счет;Ремонт;1;0.19;мужской;1;0;среднее-специальное;рабочий;>250;0;111;33;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1046348;2НДФЛ;Покупка недвижимости/ строительство;0;0.39;женский;0;0;второе высшее;специалист;>250;0;26;32;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1046368;Свободная форма с печатью работодателя;Покупка автомобиля;1;0.48;мужской;1;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;>250;0;17;38;Торговля;ООО;женат / замужем;0;0;0;0;0;0;0;0;0;0;1;2;0;31;2;1;0;34;36;0;0;0;0;0;0;0
8;1046388;2НДФЛ;Ремонт;0;0.38;мужской;1;0;второе высшее;менеджер среднего звена;>250;1;28;36;Другое;ОАО;женат / замужем;0;0;0;0;0;0;0;2;0;0;0.6666666667;2;1;24;3;1;1;3;14;0;0;0;0;0;0;0
8;1046408;Форма банка (без печати работодателя);Ремонт;0;0.42;мужской;2;0;высшее;специалист;>250;0;23;32;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1046428;2НДФЛ;Ремонт;0;0.28;мужской;1;0;высшее;специалист;>250;3;130;34;Торговля;ООО;женат / замужем;1;1;1;1;1;0.1428571429;0;1;0;0;0.5;2;2;18;4;1;0;5;89;1;0;0;0;0;0;0
8;1046448;Поступление зарплаты на счет;Ремонт;1;0.22;мужской;0;0;среднее-специальное;рабочий;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1046468;Поступление зарплаты на счет;Ремонт;0;0.47;женский;0;0;среднее-специальное;менеджер среднего звена;>250;0;49;42;Торговля;ООО;женат / замужем;2;2;0;0;0;0;0;1;0;0;0.5714285714;4;3;118;7;3;0;4;66;0;0;0;0;0;0;0
8;1046488;Поступление зарплаты на счет;Ремонт;0;0.47;женский;1;0;высшее;вспомогательный персонал;>250;0;6;31;Торговля;ООО;разведен / разведена;2;1;1;0;0;0;0;1;0;0;0.25;2;6;140;8;2;0;3;66;0;0;0;0;0;0;0
8;1046508;Поступление зарплаты на счет;Ремонт;0;0.56;женский;0;0;высшее;рабочий;>250;1;11;45;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1046528;Поступление зарплаты на счет;Покупка земли;0;0.19;мужской;0;0;высшее;менеджер среднего звена;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1046548;Поступление зарплаты на счет;Покупка земли;0;0.26;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;260;61;Информационные технологии;ООО;женат / замужем;2;0;0;0;0;0.0294117647;0;0;0;0;1;1;0;99;1;0;0;100;100;1;0;0;0;0;0;0
8;1046568;Форма банка (без печати работодателя);Ремонт;1;0.29;мужской;1;0;высшее;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1046588;Поступление зарплаты на счет;Отпуск;1;0.31;мужской;1;0;высшее;специалист;>250;0;14;32;Другое;ООО;холост / не замужем;1;1;1;1;0;0.0333333333;0;0;0;0;0.4;2;3;58;5;0;0;9;66;1;0;0;0;0;0;0
8;1046608;Свободная форма с печатью работодателя;Покупка автомобиля;0;0.14;женский;2;0;высшее;рабочий;>250;0;11;37;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1046628;Поступление зарплаты на счет;Покупка автомобиля;1;0.19;мужской;1;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;63;34;Другое;ООО;женат / замужем;2;1;0;0;0;0;1;0;0;0;0.25;1;3;36;4;0;1;23;110;0;0;0;0;0;0;0
8;1046648;Поступление зарплаты на счет;Ремонт;1;0.49;женский;0;0;высшее;специалист;>250;0;9;28;Другое;ООО;холост / не замужем;4;2;2;2;0;0;0;3;2;1;0.5;4;4;32;8;2;0;0;46;0;0;0;0;0;0;0
8;1046668;Форма банка (без печати работодателя);Ремонт;0;0.57;мужской;0;0;среднее-специальное;вспомогательный персонал;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1046688;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.36;женский;0;0;высшее;менеджер среднего звена;< 50;0;13;28;Другое;ООО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0.5;1;1;35;2;0;1;21;21;0;0;0;0;0;0;0
8;1046708;Поступление зарплаты на счет;Ремонт;0;0.26;женский;0;0;высшее;менеджер среднего звена;>250;0;74;36;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1046728;2НДФЛ;Ремонт;1;;женский;0;0;высшее;менеджер высшего звена;;1;26;28;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1046748;Поступление зарплаты на счет;Покупка автомобиля;1;0.35;мужской;3;0;высшее;специалист;>250;0;131;34;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1046768;Поступление зарплаты на счет;Покупка автомобиля;1;0.28;мужской;1;0;высшее;специалист;>250;0;85;29;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1046788;;Покупка недвижимости/ строительство;0;;женский;1;0;Высшее/Второе высшее/Ученая степень;другое;;0;33;34;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1046808;Поступление зарплаты на счет;Ремонт;0;0.14;мужской;1;0;высшее;специалист;>250;0;45;26;Торговля;ООО;женат / замужем;1;1;0;0;0;0;0;0;0;0;0;0;1;11;1;0;0;26;26;0;0;0;0;0;0;0
8;1046828;2НДФЛ;Покупка автомобиля;1;0.42;мужской;2;0;высшее;рабочий;>250;0;39;39;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1046848;2НДФЛ;Покупка автомобиля;1;0.41;мужской;2;0;среднее-специальное;рабочий;>250;3;198;43;Другое;Государственное предприятие;женат / замужем;2;2;1;1;1;;1;0;0;0;0;0;1;0;1;0;0;90;90;0;0;0;0;0;0;0
8;1046868;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.06;мужской;2;0;среднее-специальное;специалист;>250;0;98;30;Торговля;ООО;женат / замужем;1;1;1;1;0;0;1;0;0;0;0.25;1;3;80;4;0;3;41;84;0;0;0;0;0;0;0
8;1046888;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0;0.09;мужской;0;0;высшее;специалист;>250;0;47;35;Информационные технологии;ОАО;разведен / разведена;1;0;0;0;0;0;1;0;0;0;0;0;7;129;7;0;3;12;91;0;0;0;0;0;0;0
8;1046908;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.51;мужской;0;0;высшее;менеджер высшего звена;>250;0;63;38;Торговля;ООО;повторный брак;0;0;0;0;0;0.0229007634;1;0;0;0;0.75;3;1;128;4;0;0;28;108;1;0;0;0;0;0;0
8;1046928;Поступление зарплаты на счет;Ремонт;0;0.31;мужской;0;0;высшее;менеджер по продажам;< 50;0;12;29;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1046948;Свободная форма с печатью работодателя;Покупка автомобиля;1;0.49;женский;0;0;высшее;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1046968;Поступление зарплаты на счет;Ремонт;1;0.59;женский;1;0;Высшее/Второе высшее/Ученая степень;специалист;< 50;0;21;52;Торговля;Иная форма;женат / замужем;4;2;1;0;0;0.0193548387;1;1;1;0;0.4166666667;6;6;304;12;2;1;1;79;1;0;0;0;0;0;0
8;1046988;2НДФЛ;Ремонт;1;0.35;женский;0;0;высшее;специалист;>250;1;15;25;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1047008;Поступление зарплаты на счет;Ремонт;1;0.5;женский;1;0;среднее;вспомогательный персонал;>250;0;12;35;Торговля;ООО;холост / не замужем;2;1;1;1;1;0.0357142857;0;1;0;0;0.5;2;2;27;4;1;0;4;59;1;0;0;0;0;0;0
8;1047028;2НДФЛ;Обучение;1;0.3;мужской;0;0;высшее;менеджер среднего звена;>250;1;61;47;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1047048;2НДФЛ;Покупка мебели;0;0.59;мужской;2;0;высшее;менеджер среднего звена;>250;0;29;40;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1047068;;Покупка автомобиля;0;;мужской;1;0;среднее;другое;;0;19;30;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1047088;Свободная форма с печатью работодателя;Ремонт;1;0.43;женский;2;0;высшее;вспомогательный персонал;< 50;0;10;37;Торговля;Индивидуальный предприниматель;женат / замужем;0;0;0;0;0;0;0;0;0;0;1;1;0;8;1;1;0;7;7;0;0;0;0;0;0;0
8;1047108;Поступление зарплаты на счет;Другое;0;0.22;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;< 50;0;41;33;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1047128;Форма банка (без печати работодателя);Ремонт;0;0.41;женский;3;0;высшее;торговый представитель;>250;0;43;33;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1047148;Поступление зарплаты на счет;Ремонт;1;0.19;женский;0;0;высшее;специалист;>250;1;63;35;Другое;Иная форма;холост / не замужем;2;2;0;0;0;0.2212389381;0;1;0;0;0.4285714286;3;4;88;7;2;4;1;67;1;0;0;0;0;0;0
8;1047168;Поступление зарплаты на счет;Ремонт;0;0.49;мужской;0;0;высшее;специалист;>250;1;30;30;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1047188;Поступление зарплаты на счет;Покупка автомобиля;1;0.32;женский;1;0;незаконченное высшее;специалист;>250;0;42;28;Торговля;ЗАО;женат / замужем;1;0;0;0;0;0;0;0;0;0;0;0;4;33;4;0;2;10;36;0;0;0;0;0;0;0
8;1047208;;Покупка земли;0;;мужской;0;0;высшее;другое;;1;40;30;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1047228;Поступление зарплаты на счет;Ремонт;1;0.39;женский;0;0;среднее-специальное;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1047248;Поступление зарплаты на счет;Ремонт;1;0.49;мужской;0;0;среднее-специальное;рабочий;>250;0;19;28;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1047268;2НДФЛ;Отпуск;0;0.18;женский;0;0;высшее;специалист;>250;1;6;25;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1047288;Свободная форма с печатью работодателя;Ремонт;1;0.2;женский;0;0;второе высшее;рабочий;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1047308;Форма банка (без печати работодателя);Ремонт;0;0.42;мужской;0;2;незаконченное высшее;менеджер высшего звена;< 50;0;103;29;Торговля;ООО;разведен / разведена;0;0;0;0;0;0.0367647059;1;0;0;0;0.5;3;3;131;6;2;3;13;64;1;0;0;0;0;0;0
8;1047328;Поступление зарплаты на счет;Ремонт;1;0.43;мужской;0;0;среднее;вспомогательный персонал;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
